"ID","Name","Description","Venue","Start Date","End Date","Type","Has External Partner Clubs","External Partner Club Names","Collaborated With External Partners","External Partners","Activity Expenses","Cash Contributions","In Kind Contributions","Participant Count","Benificiary Count","Volunteer Count","Volunteer Hours","Cover Photo","Photos","Editorial","Showcase","Featured","Avenues of Service","Areas of Focus","Host Club","Deleted","Rotaract Club","Actions"
"cmdytnxz30005l804315mp6mi","2 Truths & 1 Lie - RAC JPN Edition","On 18th July 2025, the Rotaract Club of JP Nagar conducted its first member engagement event of the new term — “2 Truths & 1 Lie – RAC JPN Edition” — through Google Meet. The activity served as a warm, informal icebreaker designed to initiate bonding among members across various levels of the club.

The event saw active participation from 30 members, including 18 board members, 8 new inductees, and 4 existing members. The format was simple yet highly interactive — each participant shared two true statements and one false one about themselves, while others guessed which was the lie. This sparked curiosity, laughter, and friendly banter, creating a joyful and engaging virtual space.

The event successfully broke the ice among newly inducted members and gave everyone an opportunity to interact beyond formal settings. It also helped members discover common interests, unique traits, and fun facts about one another, thereby fostering deeper club camaraderie.

The session not only set a positive tone for the upcoming term but also reinforced the importance of human connection and shared stories in club-building. It was well-received by all attendees and marked a confident and lively start to the club’s fellowship calendar for 2025–2026","Google Meet","7/18/2025","7/18/2025","STANDALONE_ACTIVITY","false","","false","","0","0","0","30","0","2","57","https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/gzc9df8aVg12asMUE7OzX.jpg","https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/xQrWrcQ7ltlQC90FReV7Y.jpg,https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/gNFKD7468F_uokRtDQvvt.jpg,https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/KBbPwdymdAkGB8ulJ060k.jpg","false","false","false","Club Service","","","","Bangalore JP Nagar",""
"cmdytsm4y0005jx043odku22g","Royal Clicku, Mitra Picku","The Installation came alive with the vibrant spirit of Royal Clicku, Mitra Picku. Guests entered with curiosity and excitement, each picking their Mitra from the chits, setting the stage for a unique bonding experience. As people found their peers and clicked those playful royal selfies, a magical atmosphere of camaraderie blossomed. It was more than just an icebreaker; it became a moment where friendships were forged, laughter echoed, and introductions were made with genuine warmth—truly a spectacle of human connection celebrated like royalty. The gallery of selfies captured glimpses of sparkling smiles and new bonds, immortalizing the joy of the event. The phrase “Sneha shuruvavagodu, ondu chittiyinda!” was truly embodied in every interaction, reminding us how a simple chit can spark lasting friendships. This Installation wasn’t just an event—it was a memorable journey of bringing strangers closer, creating stories worth sharing, and celebrating the royal experience of togetherness","Padmabhushana Dr H. Narasimhaiah Multimedia Hall, National College","7/26/2025","7/26/2025","STANDALONE_ACTIVITY","false","","false","","0","0","0","4","0","2","5","https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/SQ9430AgnljbXUoIsiQ9h.JPG","https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/XjE_RGsrFMU9NhXWnjWBJ.jpg,https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/QTj0TnEhXhseIAq1HIEiD.jpg","false","false","false","Club Service","","","","Bangalore JP Nagar",""
"cmdytwokr0007jx0437xouzg9","Outgoing RIDE to RI District 3206 - Coimbatore & Palakkad","Rtr. Adithya N from the Rotaract Club of Bangalore JP Nagar participated in an extraordinary outbound Rotaract Inter District Exchange (RIDE), representing our club and RI District 3191 in a vibrant cultural and service immersion with RI District 3206. Held from July 17 to 20, 2025, this exchange brought together Rotaractors committed to fostering new connections, sharing best practices, and building lifelong friendships across districts.

The journey began as a team of three passionate Rotaractors—Rtr. Mohammed Mujtaba, Rtr. Muskan Agrawal, and Rtr. Adithya N—set out to Coimbatore, the heart of RID 3206 and the host district for this meaningful exchange.

Day 1 opened with a warm and enthusiastic welcome from the Rotaract Club of Sai Baba Colony. The hospitality and camaraderie set the tone for the adventure ahead. The day was packed with visits to iconic sites: the spiritual Marudhamalai Temple, the tranquil Siruvani River, Kattimala, and Jallipara. As we explored the raw beauty of Attapadi and paused at Mannarkad, nature and fellowship blended seamlessly, creating memories to cherish. The evening wound down with a hearty dinner and a leisurely stroll along Race Course Road—a perfect close to a spirited opening day.

Day 2 was curated by the Rotaract Club of Coimbatore Uptown. After a delicious breakfast, our group embarked on local explorations, discovering the serene Malampuzha Dam and the picturesque Kava River. We soaked in the colors and fragrance of Coimbatore’s famous flower market and experienced the modern pulse of Lulu Mall. Over dinner and in conversation on Race Course Road, we built bridges with local Rotaractors, exchanging stories and perspectives on community leadership.

Day 3 brought a new highlight, hosted jointly by RaC Sai Baba Colony and RaC Coimbatore City. The day was dedicated to the host club’s installation ceremony—a vibrant gathering attended by the DRR, IPDRR, DRRE, and presidents from various Coimbatore clubs. Laughter and learning filled the air during an engaging orientation session. After a dynamic valedictory featuring cultural performances, RaC Coimbatore City seamlessly took over hosting duties. The evening concluded with another delightful dinner, more networking, and the official handover of logistics, reflecting the seamless spirit of Rotaract collaboration.

Day 4, the final stretch, was graciously led by RaC PSGR Krishnammal College for Women. After breakfast, we set out for an excursion to Pollachi, exploring the scenic beauty of Aliyar Dam and the enchanting Monkey Falls. The day slowed down with a peaceful and reflective visit to Brookfields Mall, where we met members from RaC Coimbatore Crystal and other dedicated Rotaractors. New friends, fond farewells, and promises of future collaboration marked the perfect end as we headed to the departure point, filled with gratitude and inspiration.

Throughout these four days, the exchange was more than just sightseeing or ceremonies—it was about deepening our understanding of each other's cultures, approaches to service, and shared vision as Rotaractors. We left Coimbatore not just as guests, but as cherished members of a larger Rotaract family, carrying forward the torch of service, friendship, and inter-district kinship.

This experience beautifully encapsulated the essence of Rotaract—serving, connecting, and growing together—and reinforced our collective mission to make a difference wherever we go.","Coimbatore & Palakkad","7/17/2025","7/20/2025","PARTICIPATORY_ACTIVITY","false","","false","","0","0","0","1","0","0","96","https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/1a5eWleAHhUzTbsg35Jwt.jpg","https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/VwiNXkFjLdq1ood0Yq7LH.jpg,https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/d9Gc9QpiHwSQdN-ezo-H0.jpg,https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/hw2N5PIm51uP_SNkIWMCk.jpg","false","true","false","International Service","","RI District 3206","","Bangalore JP Nagar",""
"cmdyu3r2r000djx04q7cv8f42","Let's Nurture Nature","On July 12, 2025, the Rotaract Club of Bangalore JP Nagar, in proud collaboration with KPMG CSR, came together for a truly impactful community service project in Kolar, Karnataka. Early in the morning, volunteers assembled at the KPMG office, energized for the journey ahead. There was excitement in the air as these changemakers set out, determined to nurture nature and create a greener tomorrow.

The trip from Bangalore to Kandlevaaripalli felt less like a commute and more like a celebration of purpose. The volunteers bonded over shared laughter, playful moments, and lively desi tunes echoing throughout the bus. It was clear from the very beginning that this was a gathering defined by positive energy and unity.

Arriving at Kandlevaaripalli in Srinivasapura Taluk, everyone channeled their enthusiasm into action. Under the warm sunlight, and fueled by a genuine determination to make a difference, the volunteers—comprising members from Bangalore JP Nagar, KGF - SBMJC, KGF Community, and Jayanagar—set about planting 250 saplings. Each sapling, whether a Guava or a Chikoo, was planted with care and hope, transforming barren land into a living testament of their commitment. For many, learning the art of planting was a joyful discovery. The new skills, coupled with the thrill of making a tangible impact, turned hard work into an enjoyable, memorable challenge.

As the morning gave way to noon, the once-empty terrain now shimmered with fresh green saplings, each a living promise for the future. The volunteers were rewarded with a sumptuous home-cooked meal from the local landowners, made with love and authentic flavors that nourished both body and spirit. This meal was not just about food, but about sharing and gratitude—a perfect conclusion to a meaningful day.

Thanks to KPMG’s thoughtful support with travel, snacks, and equipment, the volunteers focused entirely on their passion for service and sustainability. The day’s efforts vividly reflected the power of teamwork, the joy of community, and the hope that rests in every small act of stewardship.

The plantation drive was more than just an event; it was a movement. It reaffirmed the difference that dedicated individuals can make when united by purpose. The land now stood alive with possibility, and each participant returned home with memories of joy, friendship, and the knowledge that they had contributed to a brighter, greener future.","Kandlevaripalli, Karnataka","7/12/2025","7/12/2025","HOSTED_ACTIVITY","false","","true","KPMG CSR","0","0","0","26","7","3","200","https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/7sLAyuSY-bfa6bFO1pwCy.jpg","https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/Y8T2ZTHHL8L3GUCgRloot.jpg,https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/epXdAEjIbYpIHAzmGmD7A.jpg,https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/YkfyasIc8yVFrWmh6URVq.jpg,https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/9V65douA3E1_J_CNr0Qj4.jpg,https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/JFIg0C3vbyogez4xxoPEO.jpg","true","true","false","Community Service","Growing Local Economies, Protecting The Environment","Rotaract Club of Bangalore JP Nagar","","Bangalore JP Nagar",""
"cmf7vzpyg0003l204grcsm5gv","Income Tax and GST Awareness & Grievance Addressal Seminar","The Rotaract Club of Bangalore JP Nagar actively participated in the Tax Awareness and Grievance Addressal Seminar held on 1st August 2025 at Jain University Auditorium. The seminar, organized by Rotary Bangalore JP Nagar and co-sponsored by Rotary Bangalore Spandana, Rotary Bangalore South Samarpane, Rotary Bangalore Malhar, and Rotary Bangalore South Parade, was an enriching platform that aimed to spread awareness on Income Tax and GST while also addressing common taxpayer grievances.

The event featured distinguished speakers including Amrita Ranjan, IRS (Principal Commissioner of Income Tax–1, Bengaluru), Dr. Kotraswamy M, IRS (Commissioner, Central Taxes Zone, Bengaluru), Dr. CA. P. Vijay Anand (Chairperson, NTWF; Practising Chartered Accountant; Founder, Linbur Consulting), and S. Ramakrishnan, IRS (Retd.) (Secretary General, NTWF; Former Chief Commissioner of Income Tax). Their insights on taxation laws, compliance procedures, and practical challenges offered immense learning to all present.

A total of 11 Rotaractors from our club attended the seminar and benefitted from the valuable interactions with the esteemed panel. The participants gained greater clarity on taxation matters, particularly on Income Tax compliance and GST-related procedures, and had the opportunity to directly raise queries during the interactive sessions.

This seminar served as a highly informative experience for our members, enhancing their financial literacy and providing them with knowledge that can be applied in both personal and professional contexts. It also reinforced the importance of active participation in Rotary-organized initiatives that promote awareness and capacity-building among youth.","Jain University Auditorium","8/1/2025","8/1/2025","PARTICIPATORY_ACTIVITY","false","","false","","0","0","0","11","0","2","41","https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/F69E9fDDWOWNOsl1OWy6m.jpg","https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/FrYU5u7yE-ueJs6kQ4a3c.jpg,https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/DQHbNJFxIhCmtSbjTpXtf.jpg,https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/lteBub8pUlA0TEtzo_2-W.jpg","false","false","false","Professional Development","","Rotary Bangalore JP Nagar","","Bangalore JP Nagar",""
"cmf7w6wbz0001jw04r0euu7lq","Smile Please 3.0","The Rotaract Club of Bangalore JP Nagar successfully organized Smile Please 3.0 — a dental screening and treatment camp held on the 9th and 10th of August 2025 at Bandipur Tiger Reserve. Hosted under our flagship annual project “Smile Please,” the initiative was conducted in collaboration with Friends of Wildlife Association, Transforming Tomorrow Foundation (TTF), and The Oxford Dental College. The camp was dedicated to the frontline staff of Bandipur, the unsung heroes who protect our forests and wildlife with unwavering commitment.

Over two days, the camp provided dental check-ups, oral hygiene awareness, treatment, and free distribution of medicines to more than 200 forest personnel. Beneficiaries included staff from multiple ranges such as Mulehole, Bandipur, Kundkere, GS Betta, Yediyala, Omkar, along with members of the Special Tiger Protection Force (STPF) and the Dog Squad. By addressing their healthcare needs and providing free medicines, the camp ensured both immediate relief and long-term awareness on oral health.

This initiative was not just about medical care, but also about expressing gratitude to the forest staff for their relentless service in safeguarding our ecosystem. The event also garnered wide appreciation and was featured in Vijayavani, further amplifying its impact and spreading awareness about the importance of caring for those who protect our wildlife. For our club members, Smile Please 3.0 was a deeply meaningful service opportunity — one that combined healthcare, conservation, and community appreciation, truly embodying the spirit of Rotaract service.","Bandipur Tiger Reserve","8/9/2025","8/10/2025","HOSTED_ACTIVITY","false","","true","Friends of Wildlife Association, Transforming Tomorrow Foundation and The Oxford Dental College","0","0","0","5","200","5","320","https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/mG5b5fupBoIM2W6BRdaG3.jpg","https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/6d_dX2PCnXIwVxBPHqclH.jpeg,https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/9_2IpEIaF5BkmUF2Wv-jR.jpeg,https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/F8_2x18fHsnF1V0qzc24U.jpg,https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/R5eSwj3h1MUUK4Dpg3zMw.jpg,https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/TxPxBTxTaTSs6MltaXYvQ.jpg","true","true","false","Community Service","Fighting Disease, Growing Local Economies, Protecting The Environment","","","Bangalore JP Nagar",""
"cmf7wjud60003l2047i7pgi1j","Tiranga Trails","The Rotaract Club of Bangalore JP Nagar celebrated Independence Day 2025 with a unique blend of patriotism, service, and fellowship through Tiranga Trails – JPN Special, held on 15th August 2025. The initiative combined an adventurous ride and trek with impactful community service activities, making the day both memorable and meaningful. A total of 16 members from our club participated with enthusiasm.

The day began with a convoy ride from Thalghatapura Metro Station to Hosadurga Village in Kanakapura Taluk, followed by a flag hoisting ceremony at the Government Panchayat School. The event was made special by the presence of students and local community members, with whom the spirit of freedom was celebrated.

The journey concluded with a scenic trek to Hosadurga Betta and a peaceful stop at Arkavathi Dam, where participants reflected on the significance of the day and the impact of their contributions.

Tiranga Trails – JPN Special successfully embodied the essence of Rotaract by combining club service, community service, fellowship, and adventure. It was a day that honored the nation, uplifted communities, strengthened friendships, and reminded everyone that true freedom lies in serving others.","Hosadurga","8/15/2025","8/15/2025","STANDALONE_ACTIVITY","false","","false","","0","0","0","16","0","2","208","https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/OIewYj_YPZ6XiYUggUqdo.jpg","https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/S8KcWIR5UvBIXFYAa1Xet.jpg,https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/WDPC94TLKtVGIl9hU6WOt.jpg,https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/IbAMC9rVwOn41QWPJn42M.jpg,https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/ysaGFX33szCRqr4xJMWdT.jpg,https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/fnf-H6SPaqUZW7RDPgkth.jpg","true","true","false","Club Service","","Rotaract Aagneya, Rotaract District 3191","","Bangalore JP Nagar",""
"cmf7wuqv90005l404kiklzxdx","Project Belaku","The Rotaract Club of Bangalore JP Nagar celebrated Independence Day 2025 with a unique blend of patriotism, service, and fellowship through Tiranga Trails – JPN Special, held on 15th August 2025. The initiative combined an adventurous ride and trek with impactful community service activities, making the day both memorable and meaningful. A total of 16 members from our club participated with enthusiasm.

The day began with a convoy ride from Thalghatapura Metro Station to Hosadurga Village in Kanakapura Taluk, followed by a flag hoisting ceremony at the Government Panchayat School. The event was made special by the presence of students and local community members, with whom the spirit of freedom was celebrated.

As part of Project Belaku, members trekked to a remote tribal hamlet to distribute solar lamps to over 30 beneficiary households. This effort not only lit up homes but also brought hope and convenience to families living in areas without reliable electricity. The trek added a spirit of adventure while amplifying the sense of purpose in serving remote communities.","Hosadurga ","8/15/2025","8/15/2025","JOINT_INITIATIVE","false","","false","","0","0","0","16","30","2","84","https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/cFUROHr_NyuvbehvnuI4R.jpg","https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/vqrP9E9PlBs7X3Tgd2212.jpg,https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/y-1KJSyd-3yuSRwmzyJsR.jpg,https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/ujlTqmxCLzGL_mpHxDY2Y.jpg,https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/pqQ92e18tlggLr4SzJ9h9.jpg,https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/zeDH0zL947pvipzrhZUNv.jpg","true","true","false","Community Service","Growing Local Economies, Protecting The Environment","RI District 3191","","Bangalore JP Nagar",""
"cmf7x0eq50005la04cj0r7d0m","Cookie Caravan","The Rotaract Club of Bangalore JP Nagar celebrated Independence Day 2025 with a unique blend of patriotism, service, and fellowship through Tiranga Trails – JPN Special, held on 15th August 2025. The initiative combined an adventurous ride and trek with impactful community service activities, making the day both memorable and meaningful. A total of 16 members from our club participated with enthusiasm.

The day began with a convoy ride from Thalghatapura Metro Station to Hosadurga Village in Kanakapura Taluk, followed by a flag hoisting ceremony at the Government Panchayat School. The event was made special by the presence of students and local community members, with whom the spirit of freedom was celebrated.

The community service extended further through a collaboration with Rotaract Aagneya for their flagship initiative, Cookie Caravan – Spreading Smiles, One Cookie at a Time. Together, we distributed cookies to over 200 students at the Government Panchayat School, Hosadurga Village, adding sweetness and joy to the Independence Day celebrations. The children’s smiles were a true highlight of the day, proving that small gestures can create lasting happiness.","Hosadurga","8/15/2025","8/15/2025","JOINT_INITIATIVE","false","","false","","0","0","0","16","200","1","18","https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/sYVJKbeHwd08LnsNf5MSG.jpg","https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/x2g8ho4aWdSXfh0il6Ahh.jpg","true","true","false","Community Service","","Rotaract Aagneya","","Bangalore JP Nagar",""
"cmf7x5b890009la04kfn3pm0q","Royal Clicku, Mitra Picku - Part 2","The Rotaract Club of Bangalore JP Nagar hosted a memorable General Body Meeting at Lalbagh that came alive with the vibrant spirit of Royal Clicku, Mitra Picku - Part 2. As members gathered amidst the greenery, the unique icebreaker set the tone for an evening filled with laughter, camaraderie, and warmth. Each participant picked their “Mitra” from chits, sparking curiosity and excitement as pairs discovered each other.

What followed was a delightful exchange of conversations and playful royal selfies that captured the essence of friendship in its purest form. The activity went beyond a simple introduction — it created an atmosphere where strangers bonded effortlessly, new friendships blossomed, and existing ones grew stronger. The gallery of selfies stood as a joyful testimony to the connections made, with sparkling smiles and genuine moments immortalized in every click.

The phrase “Sneha shuruvavagodu, ondu chittiyinda!” was beautifully brought to life, reminding everyone how even a small gesture can ignite lasting bonds. This GBM was not just about discussions and updates, but about celebrating togetherness, strengthening ties, and creating memories that truly reflected the spirit of Rotaract fellowship.","Lalbagh","8/24/2025","8/24/2025","HOSTED_ACTIVITY","false","","false","","0","0","0","12","0","1","5","https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/LKpxqFek8deKpPY7FVDpN.jpg","https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/8NxkNvDJjV8dgDhUbGsvm.jpg,https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/l8kg3GeVBKWFhdI63eBHQ.jpg,https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/nFySgnaBSQJF2iZU4QG-8.jpg,https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/gXMR9LEg50B7Ngg8O5CEo.jpg,https://rotashowcase-public-uploads.s3.ap-south-1.amazonaws.com/3191/uploads/d_ECH_0ZBBsflQjsqIHVr.jpg","false","false","false","Club Service","","","","Bangalore JP Nagar",""
